registroDate1;registrotime1;registroFloat1;registroFloat2
10102017;08:40:00;1.490.200.875;1115130.75
10102017;08:45:00;1.623.008.125;1210254.5
10102017;08:50:00;1.548.007.625;1141986.5
10102017;08:55:00;1.542.175.125;1.130.733.625
10102017;09:00:00;1.558.668.875;1.135.399.875
10102017;09:05:00;1.631.570.625;1.249.009.875
10102017;09:10:00;1601355.5;1.189.030.875
10102017;09:15:00;1.583.659.875;1159950
10102017;09:20:00;1546840;1133980.5
10102017;09:25:00;1.296.045.375;9.620.340.625
10102017;09:30:00;1.359.113.875;1.029.842.125
10102017;09:35:00;1.231.218.375;951.872.875
10102017;09:40:00;1164875.75;9.006.236.875
10102017;09:45:00;1.215.705.625;9.800.305.625
10102017;09:50:00;1416324;1294464.75
10102017;09:55:00;2251589.25;2359956.5
10102017;10:00:00;2268787.25;2120287.25
10102017;10:05:00;2299097;2118596.75
10102017;10:10:00;2.055.171.125;1.852.511.625
10102017;10:15:00;1.993.638.875;1785683
10102017;10:20:00;2010929.75;1797326.75
10102017;10:25:00;1.907.364.125;1673671
10102017;10:30:00;1.831.714.875;1.608.343.625
10102017;10:35:00;1627727.5;1435971.25
10102017;10:40:00;1.431.213.375;1268911.5
10102017;10:45:00;1365557.5;1123785.75
10102017;10:50:00;1.528.016.125;1255642
10102017;10:55:00;1495977;1.190.003.375
10102017;11:00:00;1.475.265.625;1160651.5
10102017;11:05:00;1621203;1.322.193.125
10102017;11:10:00;1548665;1.223.795.125
10102017;11:15:00;1558118.5;1.228.530.125
10102017;11:20:00;1.621.058.625;1.325.514.875
10102017;11:25:00;1533848.25;1216702.5
10102017;11:30:00;1.549.131.625;1.246.846.375
10102017;11:35:00;1.752.684.875;2463147.75
10102017;11:40:00;1752222.5;2973745.25
10102017;11:45:00;1807108;4501526
10102017;11:50:00;1793301.75;3730299.75
10102017;11:55:00;1.718.993.375;2.021.479.875
10102017;12:00:00;1674199;1.381.863.875
10102017;12:05:00;1.654.567.625;1.341.581.875
10102017;12:10:00;2114915.5;1905753.5
10102017;12:15:00;2.010.698.625;1.725.244.375
10102017;12:20:00;2134166.75;1847736
10102017;12:25:00;2145233.5;2103642.5
10102017;12:30:00;2118265.75;1872984.75
10102017;12:35:00;2114562.5;2640891.25
10102017;12:40:00;1897832;1624138.75
10102017;12:45:00;1925849.25;1665866.75
10102017;12:50:00;1904212.25;1.653.623.875
10102017;12:55:00;1.973.448.625;1.756.023.375
10102017;13:00:00;1.858.033.875;1.613.277.625
10102017;13:05:00;1.829.585.625;1.581.039.625
10102017;13:10:00;1838887.5;1.591.894.625
10102017;13:15:00;1.822.982.875;1592768.25
10102017;13:20:00;1997421;1.786.450.875
10102017;13:25:00;1.874.037.375;1.663.945.625
10102017;13:30:00;1.804.808.125;1577973.75
10102017;13:35:00;1.757.481.875;1.539.920.125
10102017;13:40:00;1.878.967.625;1622036
10102017;13:45:00;1.959.073.625;1669292
10102017;13:50:00;2017550.5;1.768.962.125
10102017;13:55:00;2244575.75;2034099
10102017;14:00:00;2174015;1.895.543.125
10102017;14:05:00;2.022.110.625;1.763.602.125
10102017;14:10:00;1.931.759.875;1640688.5
10102017;14:15:00;1893475.75;1612996.5
10102017;14:20:00;1891243.5;1599648.75
10102017;14:25:00;1.819.345.875;1.532.192.875
10102017;14:30:00;1665886.25;1.394.752.625
10102017;14:35:00;1499669.25;1.223.964.125
10102017;14:40:00;1572663.5;1285930
10102017;14:45:00;1.718.100.125;1.408.241.375
10102017;14:50:00;1.740.621.625;2163699
10102017;14:55:00;1.717.098.625;1401323.25
10102017;15:00:00;1.763.652.375;1474397
10102017;15:05:00;1902730.5;1.599.229.375
10102017;15:10:00;1773737.75;1473326.5
10102017;15:15:00;1.815.010.125;1.505.631.875
10102017;15:20:00;1.745.220.625;1435751.25
10102017;15:25:00;1.773.317.125;1.463.817.125
10102017;15:30:00;1731160.25;1.429.755.875
10102017;15:35:00;1652336;1363040.5
10102017;15:40:00;1917775.25;1661977
10102017;15:45:00;1815789.25;1519927.75
10102017;15:50:00;1884571;1587620.25
10102017;15:55:00;1741083.75;1452225.25
10102017;16:00:00;1.683.910.875;1.391.870.875
10102017;16:05:00;1.711.156.125;1400602.25
10102017;16:10:00;1.785.260.875;1.555.321.125
10102017;16:15:00;1655110.75;1368877.25
10102017;16:20:00;1.689.127.375;1421578
10102017;16:25:00;1421393.5;1.208.063.375
10102017;16:30:00;1.407.740.875;1181215.75
10102017;16:35:00;1.471.348.125;1.249.188.875
10102017;16:40:00;1528515.5;1304377
10102017;16:45:00;1.535.573.125;1.285.812.125
10102017;16:50:00;1628992;1.371.122.625
10102017;16:55:00;1.429.644.625;1.177.086.375
10102017;17:00:00;1423154.5;1192226.25
10102017;17:05:00;1398047;1.130.904.875
10102017;17:10:00;1.377.320.875;1108314.75
10102017;17:15:00;1687943.5;1.275.888.875
10102017;17:20:00;1.735.861.875;1300811.75
10102017;17:25:00;1730327.75;1.302.697.125
10102017;17:30:00;1716086;1281079
10102017;17:35:00;1772995;1.331.882.375
10102017;17:40:00;1742790;1294029.5
10102017;17:45:00;1.586.672.125;1.204.748.625
10102017;17:50:00;1.474.627.875;1130518.5
10102017;17:55:00;1.454.582.625;1.128.779.125
10102017;18:00:00;1.461.252.875;1116764.75
10102017;18:05:00;1.440.035.625;1093075.25
10102017;18:10:00;1.377.195.125;1040836.5
10102017;18:15:00;1.339.202.125;10.087.530.625
10102017;18:20:00;1355342.5;1.025.970.375
10102017;18:25:00;1.338.969.125;1000262.25
10102017;18:30:00;1368335.25;10.286.391.875
10102017;18:35:00;1.434.686.125;1.094.390.125
10102017;18:40:00;1378168.75;10.443.270.625
